InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,TotalPrice
INV500001,2023-04-26,10000,Italy,STK008,Tapis de bain,3,22.95,68.85
INV500002,2023-11-06,10000,Italy,STK002,Coussin en lin,4,20.48,81.92
INV500002,2023-11-06,10000,Italy,STK002,Coussin en lin,1,23.58,23.58
INV500002,2023-11-06,10000,Italy,STK010,Guirlande lumineuse,2,12.87,25.74
INV500003,2023-09-26,10000,Italy,STK002,Coussin en lin,4,19.19,76.76
INV500003,2023-09-26,10000,Italy,STK006,Cadre photo bois,1,13.91,13.91
INV500003,2023-09-26,10000,Italy,STK010,Guirlande lumineuse,3,9.6,28.799999999999997
INV500004,2023-11-10,10000,Italy,STK005,Bougie parfumee,2,13.12,26.24
INV500005,2023-02-01,10000,Italy,STK003,Set de tasses ceramique,2,14.18,28.36
INV500005,2023-02-01,10000,Italy,STK003,Set de tasses ceramique,4,14.63,58.52
INV500005,2023-02-01,10000,Italy,STK010,Guirlande lumineuse,5,15.65,78.25
INV500005,2023-02-01,10000,Italy,STK011,Plateau en bambou,5,20.35,101.75
INV500006,2023-12-07,10000,Italy,STK004,Plaid tricote,2,28.23,56.46
INV500006,2023-12-07,10000,Italy,STK012,Miroir mural rond,2,30.22,60.44
INV500006,2023-12-07,10000,Italy,STK008,Tapis de bain,1,30.46,30.46
INV500007,2023-07-08,10000,Italy,STK009,Vase en verre,3,16.57,49.71
INV500007,2023-07-08,10000,Italy,STK001,Lampe de bureau design,5,29.01,145.05
INV500008,2023-12-13,10000,Italy,STK002,Coussin en lin,2,13.63,27.26
INV500008,2023-12-13,10000,Italy,STK004,Plaid tricote,2,36.69,73.38
INV500008,2023-12-13,10000,Italy,STK007,Panier de rangement,1,21.93,21.93
INV500009,2023-04-22,10001,Italy,STK008,Tapis de bain,3,31.38,94.14
INV500009,2023-04-22,10001,Italy,STK009,Vase en verre,2,16.47,32.94
INV500009,2023-04-22,10001,Italy,STK003,Set de tasses ceramique,5,15.79,78.94999999999999
INV500009,2023-04-22,10001,Italy,STK002,Coussin en lin,3,11.92,35.76
INV500010,2023-05-15,10002,Belgium,STK005,Bougie parfumee,2,14.56,29.12
INV500010,2023-05-15,10002,Belgium,STK011,Plateau en bambou,5,23.75,118.75
INV500011,2023-10-10,10002,Belgium,STK004,Plaid tricote,4,31.91,127.64
INV500011,2023-10-10,10002,Belgium,STK008,Tapis de bain,5,23.58,117.89999999999999
